TF,score,n_metrics,g1_dm_diff,g2_gd,g3_ko_diff,g4_survival
MAF,2.0937,5,0.7254358552203598,0.3540609931742752,0.9410104143112363,0.0731688022226666
YAP1,2.0921,6,0.7136211116167679,0.42720270524140525,0.8107010245958848,0.14052519201215477
BCL3,2.0904,7,0.8106405948919683,0.406537666729288,0.8185442029888814,0.05468101622661538
REST,2.0867,7,0.7794095999735271,0.45306531404596406,0.6559862551331979,0.1982815699676781
NFATC1,2.078,7,0.7177479350413575,0.4067255307157618,0.8781618468159769,0.07536598203119317
NFKB2,2.0739,6,0.8600240020734699,0.354561963804872,0.7868612608759216,0.07247739940179587
GLI1,2.0716,7,0.7148617125668877,0.4620827853967061,0.8051344242083537,0.08954375423092284
ID3,2.071,7,0.7419536983875663,0.4124240716388002,0.8393713826623825,0.07722116555392707
FLI1,2.0688,6,0.757145277941931,0.35831924353434785,0.8952640426093234,0.058118304719421296
ZBTB7B,2.059,7,0.7628065600276563,0.40002504853152987,0.8125985743786979,0.08357467418739328
MTF1,2.0567,7,0.7828214557703461,0.47729976830108334,0.6630323391942311,0.13350105153408126
ZNF395,2.0544,4,0.3870049938224359,0.44467405598346793,0.42603308459871025,0.7966379325870312
KLF5,2.0514,7,0.877355271488066,0.39958669922975765,0.6655940491301533,0.10884559969380003
RXRA,2.0493,7,0.743349923638627,0.4171832926294696,0.8112105240504701,0.07757793637963309
TCF7L2,2.0458,7,0.8039858270049577,0.4151167887782579,0.5963155987760662,0.230416684245204
MSC,2.0447,6,0.8860851835602408,0.31429644937065565,0.7937763233680746,0.050496431395938596
JDP2,2.0424,7,0.7236828110768492,0.39852213663973945,0.8614257185209864,0.058738878238597525
STAT2,2.0374,6,0.8717427223382979,0.3017721836057361,0.7920788987001177,0.07182914708646104
ARID5B,2.0345,7,0.7914328771840895,0.4641492892479178,0.7018868039311594,0.07704189173685773
KLF6,2.033,7,0.8195720523102463,0.4086041705804997,0.7824049138944502,0.022463685026843903
TEAD2,2.0288,7,0.701418440261582,0.4402905629657461,0.7292932564733967,0.15776606121094922
FOXO1,2.0257,7,0.7348934294071664,0.3957667981714572,0.860513970361694,0.03457125028299627
RELB,2.0255,6,0.8060627381346848,0.32826100569854094,0.8212904693321892,0.06985325198162826
ZNF143,2.0128,3,0.28012636820659353,0.32776003506794416,0.4048742408268645,1.0
MAFK,2.0107,7,0.8766950654823118,0.4678439476485691,0.5652183393013764,0.10096636567848594
KLF4,2.0104,6,0.7918001772482484,0.37272214916400526,0.8123388233476092,0.03354165094465138
SNAI1,2.0104,6,0.7332824213608833,0.36445613375915836,0.8212508704310679,0.09140573184534882
ETV6,2.01,6,0.7590582203237967,0.3605109900432087,0.8041828751649374,0.086286724160999
RARG,2.0078,7,0.7851020309210068,0.4099818398146408,0.7450772502412015,0.06765674363687588
FOSL1,2.0069,7,0.9218827008378512,0.3912580624960862,0.5234974096489633,0.17025718184254768
FOXF1,2.0,7,0.7753762719178714,0.4987788840879203,0.6646695965069376,0.06118729455311701
IRF8,1.9995,6,0.6672209825109778,0.40716388001753395,0.8541158864788756,0.07104659734252398
IRF2,1.9933,6,0.8642588715725351,0.3211221742125368,0.7367299124860859,0.07122377653536033
NOTCH1,1.9904,6,0.781650433506628,0.3524328386248356,0.8309196406050768,0.02543701464152465
JUNB,1.979,6,0.7944237811232479,0.2561212348926044,0.8334598896245285,0.09501544709423193
TBX18,1.977,7,0.8199072454013532,0.4086667919093243,0.6727567049672472,0.07570147166164257
ETV4,1.9751,5,0.8116623840034798,0.3826163191182917,0.666624683861899,0.11421742828938261
STOX1,1.9741,3,0.4005841052352451,0.35330953722838,0.30475103911445867,0.9154367737870014
MITF,1.974,7,0.774227634529417,0.405598346796919,0.728034913044947,0.06612140432706834
NR2F1,1.9701,7,0.7264129677581557,0.45488133258187735,0.6881309659817345,0.10072149172018174
